date,open,start,close,end,aers
17/02/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,68878309b0b4bfb03afe06fe"
18/02/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,688783dcb0b4bfb03afe074d"
19/02/2025,8h00,18h00,22h00,22h00,"688782b5b0b4bfb03afe06ef,68878394b0b4bfb03afe0734"
20/02/2025,8h00,18h00,22h00,22h00,"68878346b0b4bfb03afe0707,68878309b0b4bfb03afe06fe"
21/02/2025,8h00,18h00,22h00,22h00,"688783dcb0b4bfb03afe074d,688782d6b0b4bfb03afe06f6"
22/02/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,688783dcb0b4bfb03afe074d"
24/02/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,688782b5b0b4bfb03afe06ef"
25/02/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,68878346b0b4bfb03afe0707"
26/02/2025,8h00,18h00,22h00,22h00,"688783dcb0b4bfb03afe074d,68878309b0b4bfb03afe06fe"
27/02/2025,8h00,18h00,22h00,22h00,"68878346b0b4bfb03afe0707,688782d6b0b4bfb03afe06f6"
28/02/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,68878309b0b4bfb03afe06fe"
01/03/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,6887826db0b4bfb03afe06e9"
03/03/2025,8h00,18h00,22h00,22h00,"68878346b0b4bfb03afe0707,688782d6b0b4bfb03afe06f6"
04/03/2025,8h00,18h00,22h00,22h00,"68878309b0b4bfb03afe06fe,688782b5b0b4bfb03afe06ef"
05/03/2025,8h00,18h00,22h00,22h00,"688783dcb0b4bfb03afe074d,6887826db0b4bfb03afe06e9"
06/03/2025,8h00,18h00,22h00,22h00,"688782b5b0b4bfb03afe06ef,68878346b0b4bfb03afe0707"
07/03/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,6887826db0b4bfb03afe06e9"
08/03/2025,8h00,18h00,22h00,22h00,"68878309b0b4bfb03afe06fe,688783dcb0b4bfb03afe074d"
10/03/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,68878309b0b4bfb03afe06fe"
11/03/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,688783dcb0b4bfb03afe074d"
12/03/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,688783dcb0b4bfb03afe074d"
13/03/2025,8h00,18h00,22h00,22h00,"68878346b0b4bfb03afe0707,688782b5b0b4bfb03afe06ef"
14/03/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,688782d6b0b4bfb03afe06f6"
15/03/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,688782b5b0b4bfb03afe06ef"
17/03/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,688782d6b0b4bfb03afe06f6"
18/03/2025,8h00,18h00,22h00,22h00,"6887826db0b4bfb03afe06e9,68878309b0b4bfb03afe06fe"
19/03/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,688782b5b0b4bfb03afe06ef"
20/03/2025,8h00,18h00,22h00,22h00,"68878309b0b4bfb03afe06fe,68878346b0b4bfb03afe0707"
21/03/2025,8h00,18h00,22h00,22h00,"68878394b0b4bfb03afe0734,688783dcb0b4bfb03afe074d"
22/03/2025,8h00,18h00,22h00,22h00,"68878346b0b4bfb03afe0707,68878394b0b4bfb03afe0734"
24/03/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
25/03/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
26/03/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
27/03/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
28/03/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
29/03/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
31/03/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
01/04/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
02/04/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
03/04/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
04/04/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
05/04/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
07/04/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
08/04/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
09/04/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
10/04/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
11/04/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
12/04/2025,8h00,18h00,22h00,22h00,"688783dcb0b4bfb03afe074d,688782d6b0b4bfb03afe06f6"
14/04/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
15/04/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
16/04/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
